id,title,description,link,price,availability,image_link,gtin,brand,shipping(country:region:price),expiration_date
EN_B01,Beddinge housse au sofa matelassée aux rayures,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_B02,Beddinge housse au sofa matelassée aux karo,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E01,Ektorp 2 Housse pour sofa non dépliable,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-2-sofa/,216 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E04,Ektorp Housse pour fauteuils,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-armchair/,139 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E05,Jennylund Housse pour fauteuils,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-jennylund-armchair/,118 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E06,Ektorp housse pour canapé d’angle,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-corner-sofa/,394 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E09,Ektorp Housse pour Repose-pieds,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E10,Ektorp 3 Housse pour sofa depliable nouveau modèle,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-3-new-model-sofa-bed/,256 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E11,Tullsta Housse pour fauteuils,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-tullsta-armchair/,94 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg ,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
EN_E12,Muren Housse pour fauteuils ancien modèle,The cover is carefully made with attention to detail.,https://dagra.eu/en/product/cover-ektorp-muren-armchair/,138 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,,DAGRA,FR::9 EUR,2069-03-02T21:37+0100
